city;lon;lat;code;title;Freq
Aachen;608342;5077664;Aachen;Aachen;5
Ancona;13518915;436158299;Ancona;Ancona;1
Carthage;103164;368694317;Carthage;Carthage;1
Guayaquil;-80049;-21523281;Guayaquil;Guayaquil;1
Guelph;-802481666;435448048;Guelph;Guelph;2
Haifa;34989571;327940463;Haifa;Haifa;2
Kolkata;88088;226761144;Kolkata;Kolkata;1
Koper;13707645;455406081;Koper;Koper;1
Montreal;-7358781;4550884;Montreal;Montreal;2
Parma;1032618;4479935;Parma;Parma;1
Amsterdam;48951679;523702157;Amsterdam;Amsterdam;11
Angers;-563166;47478419;Angers;Angers;4
Ankara;328597419;399333635;Ankara;Ankara;1
Antwerpen;440346;5121989;Antwerpen;Antwerpen;5
Arcavacata Di Rende (Cs);162104;39361982;Arcavacata Di Rende (Cs);Arcavacata Di Rende (Cs);2
Armidale New South Wales;151597353;-305004217;Armidale New South Wales;Armidale New South Wales;1
Ã…s;10642848;596787294;Ã…s;Ã…s;1
Suzhou;1206071;31307807;Suzhou;Suzhou;1
Athens;-83377675;339524096;Athens;Athens;2
Athina;2371622;3797945;Athina;Athina;1
AubiÃ¨re;311251;4575157;AubiÃ¨re;AubiÃ¨re;1
Augsburg;108978;483705;Augsburg;Augsburg;1
Austin;-9774306;3026715;Austin;Austin;1
Aveiro;-86538;406405;Aveiro;Aveiro;8
Baltimore;-766121893;392903848;Baltimore;Baltimore;2
Bangor;-41239;532274;Bangor;Bangor;3
Aalborg East;997428;570406042;Aalborg East;Aalborg East;8
Barcelona;21734035;413850639;Barcelona;Barcelona;38
Bari;168719083;411171488;Bari;Bari;2
Barrio Sarriena;20784;415006927;Barrio Sarriena;Barrio Sarriena;1
Basel;755944;475546492;Basel;Basel;1
Bedford;-46632;5213459;Bedford;Bedford;2
Beijing;1164074;399042;Beijing;Beijing;3
Belfast;-593012;54597285;Belfast;Belfast;1
Belgrade;204489216;44786568;Belgrade;Belgrade;2
Bellaterra (Cerdanyola Del VallÃ¨s);20784;415006927;Bellaterra (Cerdanyola Del VallÃ¨s);Bellaterra (Cerdanyola Del VallÃ¨s);13
Bengaluru;7749085;129542946;Bengaluru;Bengaluru;3
Bergamo;96773;456983;Bergamo;Bergamo;3
Bergen;53220544;603912628;Bergen;Bergen;6
Berkeley;-12227275;3787159;Berkeley;Berkeley;1
York;-10873;5396;York;York;2
Berlin;13404954;525200066;Berlin;Berlin;12
